timestamp,desired_velocity_x,desired_velocity_z,stop_distance_x,stop_distance_z,stop_time
118.0,0.00,1.60,0.00002,0.26918,0.00000811
119.0,0.00,1.60,0.00002,0.26918,0.00000811
120.1,0.00,1.60,0.00002,0.26918,0.00000811
121.0,0.00,1.60,0.00002,0.26918,0.00000811
122.0,0.00,1.70,0.00007,0.03225,0.00002193
123.0,0.00,1.70,0.00007,0.03225,0.00002193
124.0,0.00,1.70,0.00007,0.03225,0.00002193
125.0,0.00,1.70,0.00007,0.03225,0.00002193
126.0,0.00,1.70,0.00007,0.03225,0.00002193
127.0,0.00,1.70,0.00007,0.03225,0.00002193
128.0,0.00,1.70,0.00007,0.03225,0.00002193
129.0,0.00,1.80,0.00001,0.31711,0.00000596
130.0,0.00,1.80,0.00001,0.31711,0.00000596
131.0,0.00,1.80,0.00001,0.31711,0.00000596
132.0,0.00,1.80,0.00001,0.31711,0.00000596
133.0,0.00,1.80,0.00001,0.31711,0.00000596
134.0,0.00,1.80,0.00001,0.31711,0.00000596
135.0,0.00,1.90,0.00009,0.47143,0.00000882
136.0,0.00,1.90,0.00009,0.47143,0.00000882
137.0,0.00,1.90,0.00009,0.47143,0.00000882
138.0,0.00,1.90,0.00009,0.47143,0.00000882
139.1,0.00,1.90,0.00009,0.47143,0.00000882
140.0,0.00,1.90,0.00009,0.47143,0.00000882
141.0,0.00,1.90,0.00009,0.47143,0.00000882
142.0,0.00,2.00,0.00011,0.05852,0.00002193
143.0,0.00,2.00,0.00011,0.05852,0.00002193
144.0,0.00,2.00,0.00011,0.05852,0.00002193
